كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه كلاس درس,نام كلاس درس,زمانبندي تشكيل كلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاكنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ كلاس,گروه آموزشي,دانشكده,واحد,استان,Column1
7000031567,مهندسي نرم افزار,نظري,3,0,1635154716,,دوشنبه  از 07:30 تا 10:15 ,احمد مصلي نژاد,,45,,1405/10/15 از 15:00 تا 16:30 , مهندسي يك-15,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000031552,زبان تخصصي كامپيوتر,نظري,2,0,1111111111,,شنبه  از 15:00 تا 16:45 ,ايمان سيمائي,,40,,1405/10/19 از 08:00 تا 10:00 , مهندسي يك-220,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99091,زبان انگليسي عمومي-تركيبي(2),نظري,1,0,4051318,,پنج شنبه  از 16:30 تا 17:30 ,مرضيه رضايي خاتوني,,100,,1405/10/28 از 08:00 تا 10:00 ,,كارشناسي پيوسته,ارائه تركيبي در واحد منتخب,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99093,زبان انگليسي پيش دانشگاهي-تركيبي,نظري,2,0,4051120,,پنج شنبه  از 15:00 تا 16:30 ,مرضيه رضايي خاتوني,,100,,1405/10/29 از 08:00 تا 10:00 ,,كارشناسي پيوسته,ارائه تركيبي در واحد منتخب,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99093,زبان انگليسي پيش دانشگاهي-تركيبي,نظري,2,0,4051119,,پنج شنبه  از 10:00 تا 11:30 ,مرضيه رضايي خاتوني,,100,,1405/10/29 از 08:00 تا 10:00 ,,كارشناسي پيوسته,ارائه تركيبي در واحد منتخب,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000021358,الگوريتم هاي موازي,نظري,3,0,163330700,,چهارشنبه  از 07:30 تا 10:15 ,امين اسكندري,,25,,1405/10/20 از 08:00 تا 10:00 , مهندسي يك-15,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000021491,الگوريتم هاي تقريبي,نظري,3,0,163330698,,چهارشنبه  از 10:15 تا 11:45 چهارشنبه  از  از 12:30 تا 13:15 ,امين اسكندري,,20,,1405/10/22 از 08:00 تا 10:00 , مهندسي يك-118,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000011834,الگوريتم هاي تقريبي,نظري,3,0,163330654,,چهارشنبه  از 10:15 تا 11:45 چهارشنبه  از  از 12:30 تا 13:15 ,امين اسكندري,,12,,1405/10/22 از 08:00 تا 10:00 , مهندسي يك-118,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000031562,طراحي زبان هاي برنامه سازي,نظري,3,0,1635155058,,دوشنبه  از 13:15 تا 15:45 ,غلامرضا ستوده,,45,,1405/10/22 از 08:00 تا 10:00 , مهندسي يك-219,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000031562,طراحي زبان هاي برنامه سازي,نظري,3,0,1635155057,,,امين طوسي,,0,,1405/10/22 از 08:00 تا 10:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
