کد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,کد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مکان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
99062​,ورزش 1,عملي,0,1,14,برادران -,شنبه از 16:45 تا 18:30,محمدهادی برهانی,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907315​,خواهران,شنبه از 07:30 تا 09:15,عبدالحمید غریب نواز,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-007,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,13,برادران -,شنبه از 15:00 تا 16:45,محمدهادی برهانی,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,12,برادران -,شنبه از 13:15 تا 15:00,محمدهادی برهانی,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,11,برادران -,شنبه از 16:45 تا 18:30,محمد یزدان پناه,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,10,برادران -,شنبه از 15:00 تا 16:45,محمد یزدان پناه,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907314​,برادران,دوشنبه از 16:45 تا 18:30,امیرعلی بنی احمد,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-006,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907313​,برادران,دوشنبه از 15:00 تا 16:45,امیرعلی بنی احمد,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-006,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,9,برادران -,شنبه از 13:15 تا 15:00,محمد یزدان پناه,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961​,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896104​,خواهران,سه شنبه از 09:15 تا 11:00,صدراله جمشیدی,,45,,1405/10/23 از 16:30 تا 18:00,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907312​,خواهران,دوشنبه از 13:15 تا 15:00,امیرعلی بنی احمد,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-006,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961​,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896103​,برادران,چهارشنبه از 11:00 تا 11:45 چهارشنبه از ...,سید خداکرم فلاحی,,45,,1405/10/23 از 16:30 تا 18:00,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,8,خواهران,يكشنبه از 07:30 تا 09:15,ساره کامیاب,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907311​,خواهران,دوشنبه از 11:00 تا 11:45 دوشنبه از از ...,امیرعلی بنی احمد,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-006,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,7,خواهران,شنبه از 11:00 تا 12:45,نسترن تاجديني,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,6,خواهران,شنبه از 09:15 تا 11:00,نسترن تاجديني,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98961​,اخلاق اسلامی (مبانی و مفاهیم),نظري,2,0,1639896102​,برادران,دوشنبه از 16:45 تا 18:30,احمد جعفري,,45,,1405/10/23 از 16:30 تا 18:00,علوم انسانی-8,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610​,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061011​,برادران,دوشنبه از 15:00 تا 16:45,مرتضی حق شناس,,45,,1405/10/22 از 16:30 تا 18:00,علوم انسانی-8,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907310​,خواهران,چهارشنبه از 13:15 تا 15:00,ندا رستگاران,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-005,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907309​,خواهران,چهارشنبه از 11:00 تا 11:45 چهارشنبه از ...,ندا رستگاران,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-005,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907308​,خواهران,چهارشنبه از 09:15 تا 11:00,ندا رستگاران,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-005,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907307​,خواهران,چهارشنبه از 07:30 تا 09:15,ندا رستگاران,,45,,1405/10/20 از 16:30 تا 18:00,اقتصاد ومدیریت-005,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99073​,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907306​,خواهران,دوشنبه از 13:15 تا 15:00,ندا رستگاران,,45,,1405/10/13 از 16:30 تا 18:00,علوم انسانی-8,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
